checkpoint,thesis_row,adapter,mlp_ratio,prompt,seed,path,TC IoU,AR IoU,BG IoU,Mean IoU,Mean FG IoU,thesis TC IoU,thesis AR IoU
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,bbox,0,fixed,0.7357,0.625,0.9707,0.7771,0.6804,0.7242,0.6323
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,point,0,original,0.5246,0.4421,0.954,0.6402,0.4834,0.5225,0.4557
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,point,0,fixed,0.5317,0.4532,0.956,0.647,0.4925,0.5225,0.4557
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,random,0,original,0.6419,0.521,0.9598,0.7076,0.5815,0.5951,0.5234
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,random,0,fixed,0.6575,0.5293,0.9624,0.7164,0.5934,0.5951,0.5234
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,random,1,original,0.6163,0.5214,0.9598,0.6992,0.5688,0.5951,0.5234
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,random,1,fixed,0.6329,0.5291,0.9623,0.7081,0.581,0.5951,0.5234
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,random,2,original,0.613,0.5207,0.9599,0.6979,0.5669,0.5951,0.5234
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED,"Infused Token, Linear, 1.0",linear,1.0,random,2,fixed,0.6221,0.532,0.9627,0.7056,0.577,0.5951,0.5234
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,bbox,0,original,0.7402,0.6468,0.9713,0.7861,0.6935,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,bbox,0,fixed,0.7431,0.6508,0.9726,0.7889,0.697,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,point,0,original,0.5313,0.4691,0.955,0.6518,0.5002,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,point,0,fixed,0.5431,0.4729,0.9573,0.6578,0.508,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,random,0,original,0.6582,0.5475,0.9621,0.7226,0.6029,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,random,0,fixed,0.6657,0.5541,0.9642,0.728,0.6099,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,random,1,original,0.6281,0.5452,0.9618,0.7117,0.5866,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,random,1,fixed,0.6378,0.549,0.9637,0.7168,0.5934,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,random,2,original,0.6215,0.5447,0.9619,0.7094,0.5831,,
best_weights/infused_token_vit_b_1.0_infused_token_vit_b_mlp1_CORRECTED_NOSMOOTH,,linear,1.0,random,2,fixed,0.6279,0.5523,0.9641,0.7148,0.5901,,
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,bbox,0,original,0.7327,0.4388,0.9585,0.71,0.5857,0.6987,0.4446
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,bbox,0,fixed,0.7212,0.5564,0.9611,0.7462,0.6388,0.6987,0.4446
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,point,0,original,0.3941,0.3137,0.9349,0.5476,0.3539,0.3308,0.3134
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,point,0,fixed,0.5204,0.44,0.9531,0.6378,0.4802,0.3308,0.3134
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,0,original,0.5407,0.3492,0.9444,0.6114,0.4449,0.4468,0.3605
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,0,fixed,0.6432,0.4922,0.9564,0.6973,0.5677,0.4468,0.3605
infused_token_vit_b_1.0_infused_token_vit_b_mlp1_nonlinear,"Infused Token, Nonlinear, 1.0",nonlinear,1.0,random,1,original,0.5126,0.3567,0.9447,0.6047,0.4347,0.4468,0.3605
