epoch,epoch_time_s,lr,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
34,27.264054536819458,4.275649398050856e-05,0.45023836581795307,0.47427109841791965,0.9539790958726123,0.43077901259937534,0.605179040357121,0.3872869267808311
35,20.229265928268433,4.02083713045209e-05,0.450381773047977,,,,,
36,20.152513027191162,3.768845726742522e-05,0.4480116777949863,0.4720189733452817,0.9542434435402551,0.4325005788808195,0.6064148671006314,0.39298218441635724
37,21.07962942123413,3.52036587784401e-05,0.44760325528957223,,,,,
38,23.90630793571472,3.276078649750763e-05,0.44899386410359987,0.47280411990397836,0.954394924685156,0.4328332812014327,0.6066871623626738,0.3928624424988871
39,21.141506671905518,3.0366536167747892e-05,0.45031496749983896,,,,,
40,20.445977210998535,2.802747026289243e-05,0.4511313639305256,0.47183161345335517,0.954146573704397,0.42946503440594697,0.6043588808387637,0.3870984553585388
41,20.52964973449707,2.5750000000000006e-05,0.4481693239123733,,,,,
42,20.39673900604248,2.354036776675617e-05,0.4489558144851968,0.47182629893433486,0.9542549925976156,0.43088963243215594,0.6053447524873091,0.38995296592997697
43,20.46051049232483,2.1404630011522583e-05,0.4496633119053311,,,,,
44,20.62585949897766,1.9348640643033054e-05,0.4482823084901881,0.4711060259344012,0.9539591997257035,0.42858687101878135,0.6037109805877554,0.38606771610316143
45,21.31491470336914,1.7378034985236535e-05,0.44862334375028257,,,,,
46,21.31362819671631,1.54982143312659e-05,0.4481019234215772,0.47030181787598074,0.9543176952908236,0.4282074761630986,0.6035775492056735,0.3861131344502165
47,21.39805555343628,1.3714331138868995e-05,0.4490941681243756,,,,,
48,21.0477032661438,1.203127490787994e-05,0.4486313645486478,0.47017120384104194,0.9544472648795777,0.4293135703909813,0.6043581352205134,0.3884559369409207
49,20.9901340007782,1.0453658778440105e-05,0.4474882876431501,,,,,
50,21.395447492599487,8.985806886701514e-06,0.4478490900110315,0.4711418465144165,0.9542578520849657,0.43006433624297735,0.6047955081903068,0.38898682597153816
51,21.5563485622406,7.631742512670283e-06,0.44722386157071153,,,,,
52,25.414867162704468,6.395177052675793e-06,0.4486803686177289,0.47048515117050943,0.9543564815728928,0.4298924385180015,0.6047137862029652,0.38929972586549355
53,23.038387060165405,5.2794998466912506e-06,0.4469524582227071,,,,,
54,21.159390449523926,4.2877688883885125e-06,0.44899735737729957,0.470651590796676,0.9540582690578221,0.42693145457553694,0.6026403927362987,0.38321131835439787
55,20.936941385269165,3.4227024433898994e-06,0.4474056793583764,,,,,
56,20.970382928848267,2.686671598691118e-06,0.4483177019490136,0.46969882189564177,0.9543403840479409,0.42725497913417165,0.6029501141054281,0.38481113637270153
57,22.30986738204956,2.0816937636766182e-06,0.44593227505683897,,,,,
