epoch,epoch_time_s,lr,train_deep_sup,train_gen_AR,train_gen_TC,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
28,37.431973695755005,0.0005824350601949144,1.8485704070991937,0.5050336058493013,0.5131545864873462,2.8667585991047044,0.39491436773383165,0.9425839315034895,0.36964089510987586,0.5606219072410804,0.34436742248592006
29,37.55370616912842,0.0005567415893174886,1.8372859115953797,0.5027671960768876,0.5121406519164642,2.852193756456728,,,,,
30,37.6055543422699,0.0005309062983402573,1.8215952191087934,0.4965038078250708,0.5069922937563172,2.825091321159292,0.39437705969630343,0.9457446957282098,0.3747246413416462,0.5650646594705008,0.35507222298698893
31,37.59865164756775,0.0005050000000000002,1.8251489308145312,0.4979110144906574,0.5052605978454705,2.828320549152515,,,,,
32,36.524364948272705,0.00047909370165974305,1.8081155172100776,0.4985774903937623,0.49557693468199837,2.8022699375947315,0.3962622520283262,0.9418407022788564,0.3792347324649604,0.566770055736259,0.36220721290159463
33,35.48624587059021,0.00045325841068251176,1.7929092783618858,0.49561541108069596,0.4948676657897455,2.7833923622413916,,,,,
34,35.523613691329956,0.0004275649398050859,1.7901746732217292,0.4936102107719139,0.4941365091337098,2.7779213938448164,0.3832459357720797,0.9339310658940972,0.3600523974696513,0.5513452869444666,0.33685885916722286
35,35.64852261543274,0.00040208371304520927,1.7949443298357504,0.4945814561512735,0.49230596007848226,2.7818317400084602,,,,,
36,35.56698441505432,0.00037688457267425244,1.7808929756835656,0.49227616323365103,0.48715484622451993,2.760323984534652,0.3943842814640537,0.9400468332784141,0.3750141989455963,0.5633584103898689,0.35564411642713895
37,35.452046632766724,0.0003520365877844012,1.7730370543621203,0.49216563955501275,0.48457526421105424,2.7497779616603144,,,,,
38,35.53581476211548,0.0003276078649750765,1.7577359548321476,0.48921934702882053,0.4803243594175136,2.7272796705917073,0.39353428052215866,0.9394321905538966,0.37340445866011535,0.5620803692913757,0.35327463679807203
39,35.56424617767334,0.0003036653616774791,1.758552653480459,0.48876947793695663,0.47963487254800624,2.7269570034963113,,,,,
