epoch,epoch_time_s,lr,train_total,val_own_AR IoU,val_own_BG IoU,val_own_Mean FG IoU,val_own_Mean IoU,val_own_TC IoU
26,23.139183521270752,0.0006331154273257479,0.4571244599642577,0.41125908202290995,0.9477128021327192,0.3726842011782996,0.5643604014964395,0.3341093203336893
27,20.856983423233032,0.0006079162869547909,0.4561762129818951,,,,,
28,21.083516359329224,0.0005824350601949144,0.45451374848683673,0.4026746928768354,0.9475612227282448,0.3670371049860778,0.5605451442334668,0.3313995170953201
29,20.88858985900879,0.0005567415893174886,0.4510218013215948,,,,,
30,21.244617223739624,0.0005309062983402573,0.44975144730673894,0.4062391727628831,0.9459844860650699,0.36511232995696385,0.5587363819929992,0.3239854871510446
31,23.901163578033447,0.0005050000000000002,0.4484543440518556,,,,,
32,20.638062953948975,0.00047909370165974305,0.4452132922631723,0.40650154558085433,0.9464767749806826,0.3677992720058686,0.5606917729974733,0.3290969984308829
33,21.079769372940063,0.00045325841068251176,0.44412961138619317,,,,,
34,19.67931079864502,0.0004275649398050859,0.442140163757183,0.40563245231702005,0.9476294772630446,0.36484230161744424,0.559104693499311,0.32405215091786843
35,22.881115436553955,0.00040208371304520927,0.44063515376161644,,,,,
36,21.16809868812561,0.00037688457267425244,0.4368918334996259,0.4031069183992545,0.9470893703027174,0.3604435858868471,0.5559921806921372,0.31778025337443977
37,23.754558086395264,0.0003520365877844012,0.4351197342077891,,,,,
38,21.11432409286499,0.0003276078649750765,0.43603486065511354,0.40301856713062917,0.9455339036706212,0.36540967328829527,0.5587844167490705,0.32780077944596137
39,21.44261074066162,0.0003036653616774791,0.43603475380826884,,,,,
40,21.308521509170532,0.00028027470262892445,0.43543549533243536,0.40595632212781624,0.9473521337679541,0.36528260018495623,0.5593057780459555,0.3246088782420962
41,20.782769918441772,0.0002575000000000002,0.43159742068361356,,,,,
42,21.17462134361267,0.0002354036776675618,0.43149574972965105,0.4046914036387193,0.9458102585849602,0.3650748092784807,0.5586532923806405,0.3254582149182421
43,23.403462648391724,0.0002140463001152259,0.4313088125652737,,,,,
44,23.027626514434814,0.0001934864064303306,0.42924532956547207,0.39969919136743987,0.9484577080478978,0.361299286436473,0.557018760306948,0.3228993815055061
45,21.221147775650024,0.00017378034985236537,0.4291021307309469,,,,,
46,21.20005488395691,0.00015498214331265904,0.42744716935687593,0.4008120117865978,0.9466373504147323,0.3634577056688787,0.5578509205841632,0.3261033995511595
47,21.553534746170044,0.00013714331138868998,0.4285823263503887,,,,,
48,21.329471111297607,0.00012031274907879943,0.4269057474754475,0.4040138343850021,0.946902488634236,0.36556775717870355,0.5593460009972143,0.327121679972405
49,24.32222843170166,0.00010453658778440108,0.4257275559284069,,,,,
50,34.49821662902832,8.985806886701516e-05,0.42540612860962196,0.4020091438816674,0.9466256180311464,0.36235959487762964,0.5571149359288019,0.32271004587359187
51,26.17974877357483,7.631742512670285e-05,0.4237331171830495,,,,,
52,27.619321584701538,6.395177052675796e-05,0.4247736740995336,0.39981400741815143,0.9466491766295262,0.3632514385596164,0.5577173512495863,0.32668886970108135
53,34.85991716384888,5.2794998466912526e-05,0.42339069181018407,,,,,
54,37.80651807785034,4.287768888388514e-05,0.4249940344580898,0.3988602173527283,0.9466681225226823,0.3607190369022868,0.5560353987757519,0.3225778564518453
55,37.85795783996582,3.4227024433899005e-05,0.4223979104448247,,,,,
56,37.45149517059326,2.6866715986911188e-05,0.4232861234082116,0.39979119558206216,0.9468568336400613,0.3622392154160753,0.5571117548240706,0.3246872352500884
57,37.83810758590698,2.0816937636766188e-05,0.4213378853268094,,,,,
58,40.44247603416443,1.6094271405406862e-05,0.422849612545084,0.39895549844584116,0.9468839739118093,0.36110274608408355,0.5563631553599921,0.32324999372232593
